name, image_link
african, https://images.dog.ceo/breeds/african/n02116738_10024.jpg
african, https://images.dog.ceo/breeds/african/n02116738_10038.jpg
african, https://images.dog.ceo/breeds/african/n02116738_10081.jpg
african, https://images.dog.ceo/breeds/african/n02116738_10169.jpg
african, https://images.dog.ceo/breeds/african/n02116738_10215.jpg
african, https://images.dog.ceo/breeds/african/n02116738_10469.jpg
african, https://images.dog.ceo/breeds/african/n02116738_10476.jpg
african, https://images.dog.ceo/breeds/african/n02116738_10493.jpg
african, https://images.dog.ceo/breeds/african/n02116738_10575.jpg
african, https://images.dog.ceo/breeds/african/n02116738_10614.jpg
african, https://images.dog.ceo/breeds/african/n02116738_10640.jpg
african, https://images.dog.ceo/breeds/african/n02116738_10872.jpg
african, https://images.dog.ceo/breeds/african/n02116738_10895.jpg
african, https://images.dog.ceo/breeds/african/n02116738_1097.jpg
african, https://images.dog.ceo/breeds/african/n02116738_1105.jpg
african, https://images.dog.ceo/breeds/african/n02116738_1180.jpg
african, https://images.dog.ceo/breeds/african/n02116738_124.jpg
african, https://images.dog.ceo/breeds/african/n02116738_1398.jpg
african, https://images.dog.ceo/breeds/african/n02116738_1591.jpg
african, https://images.dog.ceo/breeds/african/n02116738_1627.jpg
african, https://images.dog.ceo/breeds/african/n02116738_1739.jpg
african, https://images.dog.ceo/breeds/african/n02116738_1815.jpg
african, https://images.dog.ceo/breeds/african/n02116738_1849.jpg
african, https://images.dog.ceo/breeds/african/n02116738_1927.jpg
african, https://images.dog.ceo/breeds/african/n02116738_1948.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2005.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2020.jpg
african, https://images.dog.ceo/breeds/african/n02116738_204.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2083.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2139.jpg
african, https://images.dog.ceo/breeds/african/n02116738_219.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2192.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2327.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2329.jpg
african, https://images.dog.ceo/breeds/african/n02116738_233.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2344.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2435.jpg
african, https://images.dog.ceo/breeds/african/n02116738_246.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2482.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2503.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2514.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2515.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2557.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2599.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2600.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2614.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2675.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2757.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2770.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2802.jpg
african, https://images.dog.ceo/breeds/african/n02116738_288.jpg
african, https://images.dog.ceo/breeds/african/n02116738_291.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2942.jpg
african, https://images.dog.ceo/breeds/african/n02116738_2988.jpg
african, https://images.dog.ceo/breeds/african/n02116738_3024.jpg
african, https://images.dog.ceo/breeds/african/n02116738_308.jpg
african, https://images.dog.ceo/breeds/african/n02116738_3160.jpg
african, https://images.dog.ceo/breeds/african/n02116738_328.jpg
african, https://images.dog.ceo/breeds/african/n02116738_3365.jpg
african, https://images.dog.ceo/breeds/african/n02116738_3422.jpg
african, https://images.dog.ceo/breeds/african/n02116738_3589.jpg
african, https://images.dog.ceo/breeds/african/n02116738_3635.jpg
african, https://images.dog.ceo/breeds/african/n02116738_3692.jpg
african, https://images.dog.ceo/breeds/african/n02116738_3720.jpg
african, https://images.dog.ceo/breeds/african/n02116738_3819.jpg
african, https://images.dog.ceo/breeds/african/n02116738_385.jpg
african, https://images.dog.ceo/breeds/african/n02116738_4019.jpg
african, https://images.dog.ceo/breeds/african/n02116738_4098.jpg
african, https://images.dog.ceo/breeds/african/n02116738_4102.jpg
african, https://images.dog.ceo/breeds/african/n02116738_4115.jpg
african, https://images.dog.ceo/breeds/african/n02116738_4138.jpg
african, https://images.dog.ceo/breeds/african/n02116738_431.jpg
african, https://images.dog.ceo/breeds/african/n02116738_4323.jpg
african, https://images.dog.ceo/breeds/african/n02116738_4335.jpg
african, https://images.dog.ceo/breeds/african/n02116738_4367.jpg
african, https://images.dog.ceo/breeds/african/n02116738_4382.jpg
african, https://images.dog.ceo/breeds/african/n02116738_4461.jpg
african, https://images.dog.ceo/breeds/african/n02116738_4508.jpg
african, https://images.dog.ceo/breeds/african/n02116738_4641.jpg
